feature,importance
numeric__elapsed_days,0.4813899658227664
numeric__case:RequestedAmount,0.20768369690537253
categorical__case:ApplicationType_Limit raise,0.08889875386119844
categorical__case:LoanGoal_Remaining debt home,0.0695648816650897
categorical__case:ApplicationType_New credit,0.04274228354173523
categorical__case:LoanGoal_Car,0.02376228104769533
categorical__case:LoanGoal_Home improvement,0.016570544593543554
categorical__case:LoanGoal_Existing loan takeover,0.01407664057337445
numeric__prefix_activity_o_create_offer,0.008025814775699691
numeric__prefix_origin_Offer,0.008017793724204258
"categorical__case:LoanGoal_Other, see explanation",0.007523314928278324
categorical__last_prefix_activity_O_Create Offer,0.0057155232312880635
categorical__case:LoanGoal_Unknown,0.005064131779807452
categorical__last_prefix_activity_A_Accepted,0.004880452590951747
categorical__case:LoanGoal_Not speficied,0.004122569837424355
categorical__case:LoanGoal_Caravan / Camper,0.003168719549210265
numeric__prefix_origin_Workflow,0.001983488979297402
numeric__prefix_activity_a_submitted,0.0012985319797854927
categorical__case:LoanGoal_Motorcycle,0.001187643825575446
numeric__prefix_origin_Application,0.0011868905858940038
categorical__case:LoanGoal_Extra spending limit,0.0011604864398302302
categorical__last_prefix_activity_O_Created,0.0007835868363775047
numeric__prefix_activity_o_created,0.0005360741391861476
categorical__case:LoanGoal_Tax payments,0.0004172017048261494
categorical__case:LoanGoal_Boat,0.00023872708158780196
